,Open,High,Low,Close,Volume,datetime
23,277.02,277.25,277.0,277.25,1072,2026-08-26 22:30:00
23,262.45,262.53,262.0,262.06,26510,2026-08-26 22:30:00
23,496.93,497.008,496.06,496.27,3695,2026-08-26 22:30:00
23,80.9916,81.07,80.8755,80.9018,12027,2026-08-26 22:30:00
23,342.29,342.8,342.29,342.785,32404,2026-08-26 22:30:00
23,579.49,579.69,578.01,579.4513,23912,2026-08-26 22:30:00
23,347.5819,347.8,347.2,347.3001,17303,2026-08-26 22:30:00
23,311.49,312.21,311.43,312.0761,32136,2026-08-26 22:30:00
24,80.9033,81.0,80.88,80.98,10261,2026-08-26 23:00:00
24,347.36,347.62,347.1183,347.5981,20677,2026-08-26 23:00:00
24,312.01,312.1284,311.6,311.6,21226,2026-08-26 23:00:00
24,277.09,277.3833,277.09,277.3833,89,2026-08-26 23:00:00
24,218.6254,218.74,217.77,218.1401,723267,2026-08-26 23:00:00
24,61.5943,61.5943,61.5855,61.5855,550,2026-08-26 23:00:00
24,262.04,262.1,261.51,261.6155,15519,2026-08-26 23:00:00
24,579.45,579.6,578.3,578.9896,17050,2026-08-26 23:00:00
24,342.7966,342.9284,342.66,342.77,28711,2026-08-26 23:00:00
24,496.31,496.36,495.9419,495.9419,4090,2026-08-26 23:00:00
25,61.6,61.64,61.6,61.64,1140,2026-08-26 23:30:00
25,311.62,311.9,311.62,311.79,19524,2026-08-26 23:30:00
25,496.1,496.26,495.5,495.94,12092,2026-08-26 23:30:00
25,218.15,219.64,218.02,219.53,1156817,2026-08-26 23:30:00
25,277.26,277.5,277.01,277.3,1629,2026-08-26 23:30:00
25,342.7,343.11,342.7,343.0,18797,2026-08-26 23:30:00
25,261.64,262.0,261.64,261.9124,28051,2026-08-26 23:30:00
25,81.0,81.0,80.9,80.95,6853,2026-08-26 23:30:00
25,579.0,579.2499,578.508,579.0543,11507,2026-08-26 23:30:00
25,347.4675,347.82,347.4472,347.6999,20092,2026-08-26 23:30:00
26,277.13,277.31,277.02,277.02,247,2026-08-27 00:00:00
